Dateiname,Bild,Erkannte Objekte
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/5f2dee165e759e51d513617af73991ba.jpg,Bild 360,factory worker
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/5f6060149ba05709b2944cf9eee4cd84.jpg,Bild 361,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/5f866b8b4b8c6a6204b56ea0dbe03980.jpg,Bild 362,"flag, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/5fe3052b092c7445b8cf45d1f8083a1e.jpg,Bild 363,military
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/6008b2c162b52eb7945c524c1c1b0ba9.jpg,Bild 364,military
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/600c433843534a128d52658311775ac7.jpg,Bild 365,"hammer, military, sickle, flag, sickle"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/60746c91484f97c89d9aa1430354167c.jpg,Bild 366,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/60b23354aa085618379f80151d7d9411.jpg,Bild 367,factory worker
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/60c95e3b1a1c3c3a1afe4318ae187209.jpg,Bild 368,"flag, sickle"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/614b918f51b36a8212ad7405417110c2.jpg,Bild 369,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/619e7db6a5819211c51fd4af0da06f39.jpg,Bild 370,"hammer, sickle, hammer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/61dbe819c635e3a6d10675f11641abd9.jpg,Bild 371,"agricultural labourer, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/6226a5a48b761a377ac84f12bf57d164.jpg,Bild 372,factory worker
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/627387237a86a05b7b2486783ee636c2.jpg,Bild 373,"agricultural labourer, sky"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/6282805b514e3630bfffb40a2d4650a4.jpg,Bild 374,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/628676adff1410031d3bef484d9c94a6.jpg,Bild 375,flag
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/6288bd18695942fd147bd58da480e5bb.jpg,Bild 376,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/62922c7bb98d3d04665541774dd1ef0a.jpg,Bild 377,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/6318242c94556b9c057147d001798fdc.jpg,Bild 378,"agricultural labourer, agricultural labourer, flag, flag, flag, sky, flag, flag"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/6368ff1031bb835b09ac39bd2d1412a7.jpg,Bild 379,"agricultural labourer, headscarf"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/63f4daeb31f1ab7f687306869eb9290e.jpg,Bild 380,"agricultural labourer, headscarf"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/64367d05ec7bb6a47efe67262908f584.jpg,Bild 381,"factory worker, building"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/64a1911ea187c5057baf53e1939698e3.jpg,Bild 382,"agricultural labourer, flag"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/65004c1b221b90ee793cee68d686e83b.jpg,Bild 383,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/651d2998720e43475010eef0e6dec62d.jpg,Bild 384,"office worker, factory worker, military, factory worker, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/654a74a76fc037cdaf0e3836fea91834.jpg,Bild 385,"flag, factory worker, agricultural labourer, flag"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/662875684a45cf2f15a9874b93c5f7c8.jpg,Bild 386,"agricultural labourer, factory worker, agricultural labourer, agricultural labourer, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/664228efa83835d944d3c9cfb6c18f2d.jpg,Bild 387,"agricultural labourer, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/666b76fa3213cfc912d80a2d63bae331.jpg,Bild 388,"factory worker, machinery"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/66be6d51ff56b64570dbe26f95e36465.jpg,Bild 389,"factory worker, agricultural labourer, agricultural labourer, weapon, flag, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/674d9008e4f92959e9f96c8cadb4bb55.jpg,Bild 390,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/677ae16496ee1b10049e33559169e895.jpg,Bild 391,"agricultural labourer, wheat, sky, sky, headscarf"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/67bf6cf16f5df2a2e14542e40e82eb06.jpg,Bild 392,"agricultural labourer, agricultural labourer, headscarf, headscarf, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/681671fe306b9d118e3b8ae1bf98c059.jpg,Bild 393,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/685a5f63ac92be27847b4abe6fc16eec.jpg,Bild 394,"hammer, factory worker, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/68ba89c3f12b7f1645d8b59f65c75134.jpg,Bild 395,"agricultural labourer, agricultural labourer, weapon"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/68cf962931031b428bcd3b23c6625c01.jpg,Bild 396,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/68e137e8cc1b7be54bf076da91a874b2.jpg,Bild 397,book
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/6978f71df154d82b4c5bbc3ef47931fa.jpg,Bild 398,"agricultural labourer, agricultural labourer, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/697b207e93eb711fc4319c34a3741c2d.jpg,Bild 399,"hammer, mountain"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/6991a3c9a7bc86aca57cd1828dab14fe.jpg,Bild 400,"flag, office worker, military, factory worker"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/69ccab37c397bb698cd08ac55391985e.jpg,Bild 401,"factory worker, factory worker, factory worker"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/6a09814a750c8eba194aa9547484c2ff.jpg,Bild 402,"agricultural labourer, headscarf, agricultural labourer, headscarf"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/6a976275502acb2123d845024597d0eb.jpg,Bild 403,"factory worker, flag, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/6ab04b97c02c72f306a4a4846b40ac86.jpg,Bild 404,"agricultural labourer, wheat, headscarf, sky, sky, sky"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/6b1d9f5211135df32758dd89400fb9a8.jpg,Bild 405,"agricultural labourer, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/6b2322b5a1ff4c5ab2f1d402d6f13ffa.jpg,Bild 406,"factory worker, crane"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/6b2d9763362adcac1217a3886eb2ef5a.jpg,Bild 407,factory worker
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/6b6e35ab48f9f7b03e237198a94b10b1.jpg,Bild 408,military
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/6ba08f30ced2e2c028676ead06a31867.jpg,Bild 409,"hammer, mountain"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/6ba53f13caa5f2d57a2bad15e321420a.jpg,Bild 410,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/6c4b00272ef2264f0a5969f420c5cc9f.jpg,Bild 411,"factory worker, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/6cc188f7d05ec5ecafca382c68ab96eb.jpg,Bild 412,"agricultural labourer, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/6cfa86e02709aaaa3c7955da06ad6d60.jpg,Bild 413,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/6d10ec192da58acfc1e5bdb2abbfafbd.jpg,Bild 414,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/6d1cdca55a2be9aa91d489d424994f0f.jpg,Bild 415,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/6d83c3fa9b73e8b9cd84175611a51314.jpg,Bild 416,"agricultural labourer, hammer, star, sickle, agricultural labourer, headscarf"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/6e17e51d1f230504e20452ec615a874d.jpg,Bild 417,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/6f5384ee33dfefe0fb1f49b58bf34933.jpg,Bild 418,"agricultural labourer, agricultural labourer, agricultural labourer, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/6f7360e651ba07463c3ca2f910f7f18c.jpg,Bild 419,"factory worker, flag"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/6fa98e87abeb1804e494590edcacf1ec.jpg,Bild 420,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/6faa67ef841fae016870911dfe82acfb.jpg,Bild 421,sky
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/6fef623427d49999db80bbf09dd601f9.jpg,Bild 422,"agricultural labourer, headscarf, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/7-순천비날론련합기업소2단계건설에힘을-집중하자-Lets-Focus-Our-Efforts-on-the-Second-Stage-of-Construction-of-the-Sunchon-Vinalon-Factory-400x400.png,Bild 423,factory worker
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/702b71d2f4970f850cce70eb5569f17f.jpg,Bild 424,"agricultural labourer, agricultural labourer, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/7032f9468dfa531305e92dda079a307e.jpg,Bild 425,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/706860fc5ab630751666a449f1103cbd.jpg,Bild 426,"factory worker, flag"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/70912380811747d2bca1a4d119ec0225.jpg,Bild 427,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/70d244f02873bc1ecab29d82547bea5d.jpg,Bild 428,"agricultural labourer, factory worker"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/70f91635038f46473704b55a208184ed.jpg,Bild 429,"agricultural labourer, headscarf, agricultural labourer, grass, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/710b99ef27fdc104781891aecd607a04.jpg,Bild 430,"military, flag"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/712d6d7b5e17aa8a08f9c793cdfddc38.jpg,Bild 431,"building, building"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/717d442d12a19348f290cfa1bc3ff4ce.jpg,Bild 432,"sky, factory worker, sky, flag, flag, sky, sky"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/720742ac99d1ea20af31519b37270ea5.jpg,Bild 433,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/7255b9a2a233852e36db1c6376daf5a6.jpg,Bild 434,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/725a8c768a07d4cd96210d703e190f44.jpg,Bild 435,"agricultural labourer, wheat, machinery, wheat, flower"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/72724a4f78131d4abdba75c25ab32daf.jpg,Bild 436,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/7282cfa2692491d8235b9028231da2d9.jpg,Bild 437,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/72b6bd633c34708643bb17e8b9c11b31.jpg,Bild 438,hammer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/72bef43f5e3c10b09048bce67b1d51bf.jpg,Bild 439,"agricultural labourer, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/730a3639b280bb98ed0be13af5cef247.jpg,Bild 440,"agricultural labourer, wheat, sky, headscarf"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/733a4a12372385fbfdcaa85687991d06.jpg,Bild 441,"weapon, agricultural labourer, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/73a94dd4ac30be77ae5cfb7d8c68e333.jpg,Bild 442,"agricultural labourer, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/745796a3b8f6f460b7fb0140a6c79816.jpg,Bild 443,"plane, flag, military"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/74eded9fb6a1eb83a89028de9b345624.jpg,Bild 444,"agricultural labourer, factory worker, factory worker, office worker"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/754e4e52111feb0527ad8ac123466da9.jpg,Bild 445,"weapon, flag, factory worker, flag"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/758c18304433bb96f2199679a9ed23e3.jpg,Bild 446,"factory worker, building, crane"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/75b2a63e0e2d0705245e94ca040332ee.jpg,Bild 447,flag
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/75cda182c8a09d069c7bb29d3b096fd0.jpg,Bild 448,"agricultural labourer, headscarf, headscarf"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/75f99193961fc2dc3be27d037b19d5b2.jpg,Bild 449,"factory worker, flag"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/75fb975f7cdd62d70850e7cdd07a3bb5.jpg,Bild 450,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/766256aed75f9a14c187500c18def84c.jpg,Bild 451,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/76e68b0a0942b4800b86f1f490d3f71a.jpg,Bild 452,"factory worker, military"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/7760bff1ba72484486eacadc8912d021.jpg,Bild 453,"agricultural labourer, machinery"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/7786ecb043425f670abec2b07a46d98f.jpg,Bild 454,"agricultural labourer, headscarf"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/77880b2758516ea5e480671f9498aacf.jpg,Bild 455,"agricultural labourer, agricultural labourer, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/782035a9d193ccd3cf048bd758a5ec72.jpg,Bild 456,"flag, flag, factory worker, flag"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/78456c7ab80f5ddfcdc3be9c459ca229.jpg,Bild 457,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/785cbed3aa5fbeaf6f64de4aeee210d1.jpg,Bild 458,"factory worker, flag"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/785dcfb38fb18181959c6f7d12dd56f8.jpg,Bild 459,"office worker, flag"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/7914c51c6db35c6ad0ff63628e53c66e.jpg,Bild 460,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/7a5835801e3e94392af5490a25dde457.jpg,Bild 461,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/7adee90e1960fb6ac69ac79161bca825.jpg,Bild 462,"agricultural labourer, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/7b09038c233cca788ba8bc01b667dc2e.jpg,Bild 463,factory worker
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/7b3be056c5496f03760a2ff21aca3c9e.jpg,Bild 464,factory worker
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/7b73527af35a83730967d765c6aa324e.jpg,Bild 465,factory worker
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/7d083b89af4b4920aae2085a348d580a.jpg,Bild 466,"flag, military, flag"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/7d17debb77fbaeb310c348bed92b53fa.jpg,Bild 467,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/7d2a85c95a6747b45b70aee9641ac790.jpg,Bild 468,"flag, flag, flag, flag"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/7d4a518fdccf82e1bde394bc905f091b.jpg,Bild 469,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/7daa961a382a0318c0218a8ed1543d05.jpg,Bild 470,"agricultural labourer, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/7db33d5e1c634a6d550257ddc7872dcb.jpg,Bild 471,"office worker, office worker"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/7dba6d528df5a18475a858367c3e38eb.jpg,Bild 472,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/7dba8aecfaed52b9505498e1b1eaa47b.jpg,Bild 473,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/7debb60db1ef78d84ec75dbb6466d03c.jpg,Bild 474,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/7df54190701c7e1316dd42921d686bcf.jpg,Bild 475,"agricultural labourer, headscarf"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/7e4deb54f852ee5da4eb0aa64a8cb497.jpg,Bild 476,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/7e7d1d7fc86cc7d788dfb9fafb02c968.jpg,Bild 477,"agricultural labourer, crane, flag"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/7eb9825928b680c1b28b2e6dabffbdbc.jpg,Bild 478,"agricultural labourer, agricultural labourer, factory worker, agricultural labourer, flag, flag"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/7ed06ac0192a7e15fba6b49e49dd9f00.jpg,Bild 479,factory worker
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/7f068f52da182293288bd8b10981414a.jpg,Bild 480,"horse, hammer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/7f251f7d029728c8b1fe76841ba858aa.jpg,Bild 481,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/7f5194f76bb631d2e4b6aaee6fc2ab01.jpg,Bild 482,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/7fa7d3ff8b297eaeb3851144d987412a.jpg,Bild 483,"factory worker, agricultural labourer, factory worker, headscarf"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/8-북부철길건설자들의그위훈빛내가리-The-Feats-of-Northern-Railway-Builders-will-Shine-400x400.png,Bild 484,"factory worker, office worker"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/8024e8dd4f3a21c3649e643dfb870c13.jpg,Bild 485,factory worker
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/80af6845e48854035858e757eb506d52.jpg,Bild 486,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/81101cdfb9d624a00932b50d2835740e.jpg,Bild 487,"agricultural labourer, headscarf, headscarf, flag"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/811f6de3b18dc69bb9228cf58fcdf224.jpg,Bild 488,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/821437a8651aeac1600e4849050eb4af.jpg,Bild 489,"sickle, hammer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/82a88d36cf45f16a1facedab835662c8.jpg,Bild 490,"agricultural labourer, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/82a8d6aac1abefd183b47c92b181e636.jpg,Bild 491,"plane, plane, plane, plane, plane, plane, plane, hammer, plane"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/8314f3bdc9eee8f15a0381967a517f8f.jpg,Bild 492,factory worker
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/8332256887e05b6cc58c4cbcc5bda8af.jpg,Bild 493,"agricultural labourer, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/834f687005f13047c67bf7276900d18c.jpg,Bild 494,"agricultural labourer, grass, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/837b62d6127d89d59d6eac3ae320a6b6.jpg,Bild 495,military
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/844f76650a0e951ce8334da8e2f36e65.jpg,Bild 496,"agricultural labourer, factory worker, agricultural labourer, agricultural labourer, headscarf"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/84c6bdc1552db5f20e95b5b6c2f7275b.jpg,Bild 497,"agricultural labourer, agricultural labourer, factory worker, flag"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/850aab05dc726d1cf15ad04dc95791ed.jpg,Bild 498,"office worker, factory worker, flag, flag, flag"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/85cff2e0861198d8567ed10373926d4f.jpg,Bild 499,"weapon, flag"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/868633a22c4f8a058f0411dba90e6b0b.jpg,Bild 500,"agricultural labourer, sky, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/86b711ac2d8baa5d8d3ae8342dbcdf69.jpg,Bild 501,"agricultural labourer, building, headscarf, factory worker"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/86c46541ab649b3963f836741998671c.jpg,Bild 502,"agricultural labourer, headscarf"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/87164716dc92ef28b2c2eb38ebd5c3f4.jpg,Bild 503,"agricultural labourer, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/875047a73860721dbd4da80ffc2987c0.jpg,Bild 504,"factory worker, agricultural labourer, factory worker, sky"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/8761e75755525bfa108c36ae183db121.jpg,Bild 505,"agricultural labourer, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/87acb2825735deb89b18debd34f6127e.jpg,Bild 506,"agricultural labourer, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/87adbf2eb84239d4eff9917f3e2f44ef.jpg,Bild 507,"agricultural labourer, agricultural labourer, headscarf, factory worker"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/88041f1c73926c973a9c7416b33f6df6.jpg,Bild 508,"agricultural labourer, agricultural labourer, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/8810f52a2a4c2e57084bbcd3dc81a9ff.jpg,Bild 509,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/88a5b1bb9e6558c0cc9effaec8a3af52.jpg,Bild 510,"hammer, office worker, factory worker"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/88a93ae32835dfd186f9b59aff998e05.jpg,Bild 511,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/88acfb037f330091ebafcca3c7927b87.jpg,Bild 512,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/88e7688b71b235ce9fb6894f47995327.jpg,Bild 513,"agricultural labourer, agricultural labourer, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/88fc10477b733cb1263b2fa5bcc14b5b.jpg,Bild 514,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/895d767f2a1daf2ee88b1d3c99bd523d.jpg,Bild 515,"factory worker, crane, building, crane"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/896e99fbff3d36437a64c2ad97bb78dc.jpg,Bild 516,"flag, flag, crane, flag"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/8971c5c064acf2a8f3f25bb36fcbc02d.jpg,Bild 517,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/8993c5c89d3e267e8629e34168432542.jpg,Bild 518,military
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/89953eae7d7774e84f61ff25eff3e89e.jpg,Bild 519,"agricultural labourer, sky"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/89e0d76749785a347e83443aa8ba9fbd.jpg,Bild 520,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/89f18efd87ee7ade6ad33ca63d930a2d.jpg,Bild 521,"flag, flag"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/8a424eb7d939b586e4ab5d8892512325.jpg,Bild 522,"agricultural labourer, sky"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/8a4bf51412efc106977a1d0c90a9e331.jpg,Bild 523,"factory worker, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/8aae7927f03d0d95846363bca459e3f4.jpg,Bild 524,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/8b1825c80e54e307ac7759bf6c401e43.jpg,Bild 525,"agricultural labourer, headscarf"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/8b1d3e8d11935876a0de4c751621e3d8.jpg,Bild 526,"agricultural labourer, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/8b6c686eeeb1a304fcfefe775d615804.jpg,Bild 527,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/8baae38fff08e434aa2449ad0df719bb.jpg,Bild 528,flag
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/8c4aea6767ba2ac5e32cc3ce580558f2.jpg,Bild 529,"agricultural labourer, factory worker, agricultural labourer"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/8c789898cdeb93db605491d2de188ca9.jpg,Bild 530,flag
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/8c859a762356c4d8a34bb37c456f3e02.jpg,Bild 531,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/8cbf19b2324a42f45b1a13c9be07715f.jpg,Bild 532,agricultural labourer
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/8cc9e10eb24f64fef8407c28a051b73f.jpg,Bild 533,
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/8cf049411151eb50e3cb1874cd7dae9b.jpg,Bild 534,factory worker
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/8d5e3355442ad4df3fd50319bcc3f1bd.jpg,Bild 535,"agricultural labourer, headscarf, factory worker, headscarf"
/content/gdrive/MyDrive/Colab Notebooks/yolo/test/DPRK/8d5ebb05dd8c2ea994000effa18be3f2.jpg,Bild 536,sickle
